Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.ArrInit,2,Class,mixin,ArrInit,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_VarInit,2,Class,mixin,AST_VarInit,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.MoreShiftExprElem,2,Class,mixin,MoreShiftExprElem,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.SEBody,2,Class,mixin,SEBody,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.StatesClause,2,Class,mixin,StatesClause,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.VarInitExpr,2,Class,mixin,VarInitExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.MDSBlock,2,Class,mixin,MDSBlock,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.MethodDeclSuffix,2,Class,mixin,MethodDeclSuffix,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.MEBody,2,Class,mixin,MEBody,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_TypeNameC,2,Class,mixin,AST_TypeNameC,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.EEBody,2,Class,mixin,EEBody,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AllocExprChoices,2,Class,mixin,AllocExprChoices,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.MoreExclOrExpr,2,Class,mixin,MoreExclOrExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.CatchStmt,2,Class,mixin,CatchStmt,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.Catch,2,Class,mixin,Catch,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.SmClsExtends,2,Class,mixin,SmClsExtends,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.SmExtendsClause,2,Class,mixin,SmExtendsClause,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.SmClassDecl,2,Class,mixin,SmClassDecl,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.SmClassBody,2,Class,mixin,SmClassBody,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ESList,2,Class,mixin,ESList,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.RootClause,2,Class,mixin,RootClause,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.StatesList,2,Class,mixin,StatesList,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.RootDecl,2,Class,mixin,RootDecl,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.DelivClause,2,Class,mixin,DelivClause,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
